HVAC Count From Assignment(Ground Mounted),Manual Ground & Rooftop HVAC Count from Image,Estimated Rooftop Units,Latitude,Longitude
1,6,5,40.1868628,-87.6284328
,6,6,38.50369692,-82.68070757
1,6,5,32.43455314,-97.80978912
,6,6,44.8463047,-73.0788342
1,5,4,45.0807845,-93.7188951
1,10,9,40.93219024,-98.38603377
1,5,4,42.153892,-77.102956
1,8,7,35.38608483,-119.1121012
1,11,10,34.18967663,-101.753984
1,5,4,30.2374656,-98.8384693
1,5,4,45.0742725,-87.6613762
1,5,4,44.66536341,-75.02993488
,6,6,26.75599092,-80.94655752
2,6,4,40.47257939,-74.86087203
1,6,5,37.77473957,-120.829702
1,5,4,32.8043838,-83.7372468
,6,6,33.5187746,-101.9859383
,6,6,42.7635026,-78.8272039
6,4,-2,44.7040373,-93.4358011
1,5,4,35.96775711,-87.13350685
,5,5,34.782229,-84.8202127
,5,5,31.916729,-102.292193
1,5,4,42.87234769,-71.48828816
1,5,4,29.7932898,-94.9792153
1,5,4,35.889498,-94.981575
1,4,3,36.68374062,-80.88812613
,6,6,39.5203059,-76.184435
1,5,4,39.193371,-96.5264362
,5,5,30.54147797,-96.69012988
1,5,4,35.0425304,-85.6754896
,6,6,31.9754087,-102.0767884
1,7,6,35.78452198,-80.25792632
1,5,4,29.3540813,-98.8466848
1,8,7,33.11952391,-94.18175429
2,5,3,43.58100143,-70.36614126
,5,5,32.2768289,-81.2317466
1,5,4,43.22516153,-75.48818214
1,5,4,42.37759159,-83.75692317
1,3,2,38.22551681,-78.12374541
1,5,4,31.61937973,-81.87319187
1,5,4,42.56593781,-73.68156105
1,7,6,34.48420594,-87.27651274
4,2,-2,42.73913367,-84.67117757
1,5,4,44.92221386,-74.88403184
1,7,6,36.70478211,-101.4831215
,5,5,35.442225,-81.0010133
,5,5,30.6492315,-91.1010736
,5,5,33.4568595,-104.5244896
1,8,7,42.84069496,-83.44895426
1,5,4,44.76267232,-92.79307484
